theta_cs, phi_cs, theta_prime, phi_prime
1.67728,1.57079,2.71666,3.66576
1.67804,1.57079,2.71663,3.66478
1.67881,1.57079,2.71684,3.66524
1.67957,1.57079,2.71748,3.6682
1.68034,1.57079,2.71814,3.6713
1.68111,1.57079,2.71901,3.67568
1.68187,1.57079,2.71929,3.67652
1.68264,1.57079,2.7196,3.67758
1.68341,1.57079,2.72058,3.68267
1.68417,1.57079,2.72109,3.68489
1.68494,1.57079,2.72143,3.68618
1.6857,1.57079,2.72203,3.68901
1.68647,1.57079,2.72257,3.69146
1.68724,1.57079,2.72335,3.69538
1.688,1.57079,2.72397,3.69837
1.68877,1.57079,2.7247,3.702
1.68953,1.57079,2.72455,3.70029
1.6903,1.57079,2.72535,3.70436
1.69107,1.57079,2.72575,3.70599
1.69183,1.57079,2.72613,3.70758
1.6926,1.57079,2.7272,3.71333
1.69336,1.57079,2.72758,3.71486
1.69413,1.57079,2.72816,3.71764
1.6949,1.57079,2.72851,3.71906
1.69566,1.57079,2.72953,3.72459
1.69643,1.57079,2.73,3.72672
1.69719,1.57079,2.73065,3.72996
1.69796,1.57079,2.73099,3.73137
1.69873,1.57079,2.73117,3.73164
1.69949,1.57079,2.73228,3.73783
1.70026,1.57079,2.7322,3.73656
1.70102,1.57079,2.73336,3.74308
1.70179,1.57079,2.73392,3.74582
1.70256,1.57079,2.734,3.74554
1.70332,1.57079,2.7345,3.74796
1.70409,1.57079,2.73504,3.75058
1.70485,1.57079,2.73594,3.75556
1.70562,1.57079,2.73592,3.7546
1.70639,1.57079,2.73667,3.75865
1.70715,1.57079,2.73703,3.76013
1.70792,1.57079,2.73803,3.76578
1.70868,1.57079,2.73846,3.7678
1.70945,1.57079,2.73869,3.76849
1.71022,1.57079,2.7398,3.77494
1.71098,1.57079,2.7397,3.77349
1.71175,1.57079,2.74065,3.77889
1.71252,1.57079,2.74146,3.78345
1.71328,1.57079,2.74143,3.78245
1.71405,1.57079,2.74232,3.78752
1.71481,1.57079,2.74254,3.78818
1.71558,1.57079,2.74368,3.7949
1.71635,1.57079,2.74364,3.79388
1.71711,1.57079,2.7444,3.79809
1.71788,1.57079,2.74524,3.80289
1.71864,1.57079,2.74517,3.80168
1.71941,1.57079,2.74599,3.80635
1.72018,1.57079,2.74642,3.80845
1.72094,1.57079,2.74703,3.81175
1.72171,1.57079,2.74761,3.81493
1.72247,1.57079,2.74828,3.81861
1.72324,1.57079,2.74875,3.82106
1.72401,1.57079,2.74931,3.82401
1.57079,1.5723,1.56994,1.57143
1.57156,1.5723,1.9606,1.98227
1.57233,1.5723,2.19656,2.29274
1.57309,1.5723,2.347,2.55054
1.57386,1.5723,2.40915,2.67903
1.57463,1.5723,2.45135,2.77657
1.57539,1.5723,2.47005,2.82303
1.57616,1.5723,2.504,2.91366
1.57692,1.5723,2.52358,2.96919
1.57769,1.5723,2.53422,3.00051
1.57846,1.5723,2.54311,3.02723
1.57922,1.5723,2.55987,3.08025
1.57999,1.5723,2.56221,3.0873
1.58075,1.5723,2.56867,3.10809
1.58152,1.5723,2.57557,3.13096
1.58229,1.5723,2.5825,3.1545
1.58305,1.5723,2.5883,3.17434
1.58382,1.5723,2.59339,3.19209
1.58458,1.5723,2.59523,3.19803
1.58535,1.5723,2.59682,3.20326
1.58612,1.5723,2.60153,3.21999
1.58688,1.5723,2.60579,3.23548
1.58765,1.5723,2.60755,3.24132
1.58841,1.5723,2.61121,3.25475
