theta_cs, phi_cs, theta_prime, phi_prime
1.05676,0.459633,0.0772416,-11.8963
1.13224,0.459633,0.0789103,-11.7176
1.20772,0.459633,0.0797559,-11.6721
1.28321,0.459633,0.079825,-11.7454
1.35869,0.459633,0.0792186,-11.9219
1.43417,0.459633,0.0780883,-12.1829
1.50965,0.459633,0.0766235,-12.5044
1.58514,0.459633,3.06596,13.6412
1.66062,0.459633,3.06439,13.2961
1.7361,0.459633,3.06302,12.9944
1.81158,0.459633,3.06207,12.763
1.88707,0.459633,3.06171,12.6237
1.96255,0.459633,3.06206,12.5939
2.03803,0.459633,3.06322,12.6883
2.11352,0.459633,3.0652,12.9216
2.189,0.459633,3.06799,13.3112
2.26448,0.459633,3.07154,13.8805
2.33996,0.459633,3.07577,14.6628
2.41545,0.459633,3.0806,15.7076
2.49093,0.459633,3.08592,17.0897
2.56641,0.459633,3.09166,18.9261
2.64189,0.459633,3.09772,21.4071
2.71738,0.459633,3.10404,24.8621
2.79286,0.459633,3.11055,29.9085
2.86834,0.459633,3.11718,37.85
2.94383,0.459633,3.1239,51.9852
3.01931,0.459633,3.13066,83.764
3.09479,0.459633,3.13742,218.519
0,0.612844,nan,nan
0.0754827,0.612844,0.00674601,-134.398
0.150965,0.612844,0.0135291,-66.7238
0.226448,0.612844,0.0203325,-44.2226
0.301931,0.612844,0.0271336,-33.0221
0.377414,0.612844,0.0339015,-26.3505
0.452896,0.612844,0.0405942,-21.9528
0.528379,0.612844,0.0471562,-18.8645
0.603862,0.612844,0.0535162,-16.6056
0.679344,0.612844,0.0595856,-14.9116
0.754827,0.612844,0.0652582,-13.6261
0.83031,0.612844,0.070411,-12.652
0.905792,0.612844,0.0749091,-11.9275
0.981275,0.612844,0.078613,-11.4126
1.05676,0.612844,0.0813922,-11.0815
1.13224,0.612844,0.0831432,-10.9179
1.20772,0.612844,0.0838134,-10.9106
1.28321,0.612844,0.0834244,-11.0504
1.35869,0.612844,0.0820903,-11.3261
1.43417,0.612844,0.0800195,-11.7199
1.50965,0.612844,0.0774949,-12.2042
1.58514,0.612844,3.06575,13.7591
1.66062,0.612844,3.0631,13.2375
1.7361,0.612844,3.06072,12.7836
1.81158,0.612844,3.0589,12.432
1.88707,0.612844,3.0579,12.2063
1.96255,0.612844,3.05791,12.1212
2.03803,0.612844,3.05899,12.1868
2.11352,0.612844,3.06114,12.4126
2.189,0.612844,3.06428,12.8112
2.26448,0.612844,3.06831,13.402
2.33996,0.612844,3.07307,14.2156
2.41545,0.612844,3.07844,15.2992
2.49093,0.612844,3.08427,16.726
2.56641,0.612844,3.09046,18.6118
2.64189,0.612844,3.09691,21.1463
2.71738,0.612844,3.10353,24.6581
2.79286,0.612844,3.11026,29.764
2.86834,0.612844,3.11704,37.7674
2.94383,0.612844,3.12385,51.9663
3.01931,0.612844,3.13064,83.8102
3.09479,0.612844,3.13742,218.631
0,0.766055,nan,nan
0.0754827,0.766055,0.00674976,-134.162
0.150965,0.766055,0.0135592,-66.4065
0.226448,0.766055,0.0204341,-43.8247
0.301931,0.766055,0.0273735,-32.5457
0.377414,0.766055,0.0343665,-25.798
0.452896,0.766055,0.0413878,-21.3269
0.528379,0.766055,0.0483935,-18.1687
0.603862,0.766055,0.0553168,-15.8435
0.679344,0.766055,0.0620634,-14.0875
0.754827,0.766055,0.0685078,-12.7449
0.83031,0.766055,0.0744904,-11.7197
0.905792,0.766055,0.0798188,-10.9516
0.981275,0.766055,0.0842728,-10.4032
1.05676,0.766055,0.0876196,-10.053
1.13224,0.766055,0.0896401,-9.89076
1.20772,0.766055,0.0901703,-9.91408
1.28321,0.766055,0.0891562,-10.1247
1.35869,0.766055,0.0867078,-10.5227
1.43417,0.766055,0.0831277,-11.0984
1.50965,0.766055,0.0788843,-11.8232
1.58514,0.766055,3.06544,13.8571
1.66062,0.766055,3.06105,13.0652
1.7361,0.766055,3.057,12.3921
1.81158,0.766055,3.0538,11.8818
1.88707,0.766055,3.05187,11.5546
1.96255,0.766055,3.05144,11.4154
2.03803,0.766055,3.05255,11.4627
2.11352,0.766055,3.0551,11.6957
2.189,0.766055,3.05889,12.1194
2.26448,0.766055,3.06371,12.748
2.33996,0.766055,3.06931,13.6084
2.41545,0.766055,3.07549,14.7455
2.49093,0.766055,3.08206,16.2314
2.56641,0.766055,3.08889,18.1809
2.64189,0.766055,3.09586,20.7831
2.71738,0.766055,3.10287,24.3661
2.79286,0.766055,3.10989,29.5465
2.86834,0.766055,3.11686,37.6271
2.94383,0.766055,3.12378,51.9053
3.01931,0.766055,3.13063,83.8303
3.09479,0.766055,3.13741,218.734
0,0.919266,nan,nan
0.0754827,0.919266,0.00675417,-133.912
0.150965,0.919266,0.0135947,-66.0606
0.226448,0.919266,0.0205546,-43.3845
0.301931,0.919266,0.0276606,-32.0133
0.377414,0.919266,0.0349289,-25.1761
0.452896,0.919266,0.04236,-20.6188
0.528379,0.919266,0.049933,-17.3778
0.603862,0.919266,0.0575977,-14.9737
0.679344,0.919266,0.0652668,-13.1424
0.754827,0.919266,0.0728064,-11.7284
0.83031,0.919266,0.0800263,-10.636
0.905792,0.919266,0.0866716,-9.80548
0.981275,0.919266,0.0924185,-9.20139
1.05676,0.919266,0.0968801,-8.80578
1.13224,0.919266,0.0996321,-8.61541
1.20772,0.919266,0.100272,-8.64023
1.28321,0.919266,0.0985281,-8.90147
1.35869,0.919266,0.0944083,-9.42619
1.43417,0.919266,0.0883416,-10.2335
1.50965,0.919266,0.0811874,-11.3096
1.58514,0.919266,3.06492,13.9212
1.66062,0.919266,3.05763,12.7107
1.7361,0.919266,3.05076,11.7318
1.81158,0.919266,3.04536,11.0327
1.88707,0.919266,3.04211,10.6112
1.96255,0.919266,3.04129,10.4428
2.03803,0.919266,3.04278,10.5017
2.11352,0.919266,3.04623,10.7706
2.189,0.919266,3.05123,11.2443
2.26448,0.919266,3.05736,11.9314
2.33996,0.919266,3.06426,12.8561
2.41545,0.919266,3.07162,14.0621
2.49093,0.919266,3.07923,15.6208
2.56641,0.919266,3.08691,17.647
2.64189,0.919266,3.09455,20.3297
2.71738,0.919266,3.10207,23.9968
2.79286,0.919266,3.10945,29.2647
2.86834,0.919266,3.11665,37.4358
2.94383,0.919266,3.1237,51.8072
3.01931,0.919266,3.13061,83.8272
3.09479,0.919266,3.13741,218.827
0,1.07248,nan,nan
0.0754827,1.07248,0.00675913,-133.65
0.150965,1.07248,0.0136348,-65.6909
0.226448,1.07248,0.0206918,-42.9087
0.301931,1.07248,0.0279905,-31.4338
0.377414,1.07248,0.0355832,-24.4962
0.452896,1.07248,0.0435086,-19.842
0.528379,1.07248,0.0517844,-16.508
0.603862,1.07248,0.0603978,-14.0146
0.679344,1.07248,0.0692934,-12.0975
0.754827,1.07248,0.0783567,-10.6005
0.83031,1.07248,0.0873947,-9.42674
0.905792,1.07248,0.096112,-8.51585
0.981275,1.07248,0.104084,-7.83154
1.05676,1.07248,0.110734,-7.35659
1.13224,1.07248,0.115318,-7.09171
1.20772,1.07248,0.116966,-7.05809
1.28321,1.07248,0.114819,-7.30281
1.35869,1.07248,0.108367,-7.90396
1.43417,1.07248,0.097995,-8.96196
1.50965,1.07248,0.0854004,-10.5474
1.58514,1.07248,3.06399,13.9186
1.66062,1.07248,3.0513,12.0277
1.7361,1.07248,3.03927,10.6449
1.81158,1.07248,3.03027,9.7723
1.88707,1.07248,3.02547,9.31772
1.96255,1.07248,3.02485,9.18622
2.03803,1.07248,3.02772,9.31172
2.11352,1.07248,3.03319,9.65771
2.189,1.07248,3.04042,10.2113
2.26448,1.07248,3.04873,10.9787
2.33996,1.07248,3.05761,11.984
2.41545,1.07248,3.06669,13.2719
2.49093,1.07248,3.07571,14.9146
2.56641,1.07248,3.0845,17.0279
2.64189,1.07248,3.09299,19.8012
2.71738,1.07248,3.10114,23.5628
2.79286,1.07248,3.10893,28.929
2.86834,1.07248,3.11641,37.2018
2.94383,1.07248,3.12361,51.6778
3.01931,1.07248,3.13059,83.8046
3.09479,1.07248,3.13741,218.913
0,1.22569,nan,nan
0.0754827,1.22569,0.00676453,-133.379
0.150965,1.22569,0.0136787,-65.3023
0.226448,1.22569,0.020843,-42.4048
0.301931,1.22569,0.028358,-30.8175
0.377414,1.22569,0.0363222,-23.771
0.452896,1.22569,0.0448273,-19.0123
0.528379,1.22569,0.053952,-15.5782
0.603862,1.22569,0.0637515,-12.9893
0.679344,1.22569,0.074243,-10.9806
0.754827,1.22569,0.0853846,-9.39446
0.83031,1.22569,0.0970468,-8.13227
0.905792,1.22569,0.108972,-7.13048
0.981275,1.22569,0.120719,-6.34886
1.05676,1.22569,0.131586,-5.76532
1.13224,1.22569,0.140503,-5.37566
1.20772,1.22569,0.14591,-5.19921
1.28321,1.22569,0.145677,-5.29441
1.35869,1.22569,0.137354,-5.79358
